GEOID,land_perc,food1,food2,life,mw,cg,metrolink,tract_area,bike_len,bike_cnt,park1,park2,park1ratio,park2ratio,walk,unins
29510106700,1,0,0,70.8,0,0,0,1238490.301,2354.812705,6,48118.24,48118.24,0.038852335,0.038852335,11.79175,20.3
29510107400,1,0.721976367,0.380315637,68.3,3,1,0,1085051.041,1424.523034,2,8815.072,8815.072,0.008124108,0.008124108,10.83333333,20
29510107500,1,0.904448053,0.520243262,65.8,1,0,0,911788.203,3656.058301,6,0,0,0,0,12.375,13.3
29510107600,1,0.633293422,0.448943159,73.1,0,0,0,1168195.517,1057.497564,3,126653.783,230590.732,0.108418309,0.19739053,10.5,21
29510111100,1,0,0,71.6,0,2,0,1090860.425,947.8282104,2,5532.289,5532.289,0.005071491,0.005071491,13.167,21.6
29510111200,1,0,0,66.3,2,1,0,1047491.545,2809.736229,2,14465.423,14465.423,0.013809584,0.013809584,12.917,29.8
29510111300,1,0,0,66.46,0,3,0,951117.424,54.94758961,2,22609.704,22609.704,0.023771727,0.023771727,13.5835,11.9
29510111400,1,0,0,65.4,2,2,0,911526.717,1870.230581,2,0,0,0,0,15.25,12.8
29510111500,1,0,0,68.02,0,0,0,788062.946,2538.780026,6,10513.465,10513.465,0.013340895,0.013340895,17.75,17.3
29510112200,1,0,0,72.7,2,2,0,695268.015,177.0676539,2,0,0,0,0,14.38866667,18.6
29510115400,1,0,0,72.8,2,1,0,977789.446,747.6343239,2,0,0,0,0,13.389,23.4
29510115500,1,0,0,75.04,7,1,0,1215461.525,3356.036344,3,0,0,0,0,13.54771429,16.5
29510115600,0.693022493,0.147555883,0.11859202,67,2,1,0,2645818.631,2824.784138,7,56570.13,87097.331,0.021380955,0.032918859,12.83316667,22
29510119200,1,0,0,77.3,1,0,0,733659.284,1100.766482,1,0,0,0,0,12.75,8.7
29510119300,1,0,0,73.9,4,1,0,1179764.697,5255.438552,13,0,0,0,0,17.16666667,9.9
29510120200,1,0,0,69.7,0,0,0,579422.568,2658.117484,6,0,0,0,0,17.333,13.1
29510114200,1,0,0,75.5,6,1,0,1512783.408,1095.117846,5,120165.324,120165.324,0.079433264,0.079433264,13,4.4
29510114300,1,0,0,79.1,14,1,0,1366899.553,2316.708837,5,0,0,0,0,11.88883333,4.9
29510115100,1,0,0,72.4,9,1,0,1145340.375,2909.970144,8,30277.377,60753.145,0.026435266,0.053043747,12.4,18
29510110400,1,0,0,67.5,0,1,0,885195.106,1987.853131,5,0,0,0,0,14.88866667,21
29510110500,1,0,0,60.7,1,0,0,1247139.275,3134.931358,8,515201.451,515201.451,0.413106588,0.413106588,14.6665,9.3
29510110100,1,0,0,68.6,1,1,0,993914.175,2030.249817,6,0,0,0,0,13.55566667,20.4
29510110200,1,0,0,68,1,1,0,777605.919,336.0972707,3,0,0,0,0,12.333,30.3
29510112300,1,0,0,72,6,3,0,851830.07,2184.032657,3,11172.839,11172.839,0.013116277,0.013116277,12.83366667,12.3
29510116100,1,0,0,76.3,5,0,0,765173.296,2229.201769,6,0,0,0,0,13,15.2
29510116200,1,0,0,75,11,2,0,2348170.507,7273.128025,13,1085717.476,1085717.476,0.462367393,0.462367393,13.5,9.1
29510116400,1,0,0,74.5,2,1,0,1004117.598,4537.557864,10,33229.002,33229.002,0.033092739,0.033092739,14.3055,33.1
29510107300,1,0.542789981,0.233110716,69,0,3,0,1573603.543,5035.657496,8,4421.763,4421.763,0.00280996,0.00280996,12.90471429,17.5
29510118400,1,0.000444508,0.000373587,75.6,0,0,1,1448165.913,2989.048716,9,0,0,0,0,16.5,3.1
